"time","symbol","price","float","volume","relative","change","strategy"
"09:07:57  03-13-2020","EQT","9,53","253.838","1.825,1","2,28","37,3","High Momo"
"09:03:38  03-13-2020","BXG","5,89","7.098.640","3.695,4","2,44","10,7","High Momo"
"09:02:00  03-13-2020","BEDU","6,99","16.684.500","1.374,9","1,23","5,0","High Momo"
"09:02:00  03-13-2020","AVAL","5,95","9.522.180","1.106,0","2,03","13,8","High Momo"
"09:02:00  03-13-2020","OLP","18,90","15.295.200","2.349,0","4,57","10,7","High Momo"
"09:02:00  03-13-2020","VRTV","7,25","15.544.600","1.518,8","2,40","15,6","High Momo"
"09:02:00  03-13-2020","MOV","12,68","15.922.500","2.374,2","1,86","8,8","High Momo"
"09:01:47  03-13-2020","RFL","14,02","11.309.100","2.239,6","1,18","21,4","High Momo"
"09:00:40  03-13-2020","LQDA","4,00","15.412.100","1.574,4","1,03","14,1","High Momo"
"09:00:40  03-13-2020","RBB","14,00","16.103.100","1.335,9","2,05","10,8","High Momo"
"09:00:40  03-13-2020","LMNR","14,02","17.941.400","2.121,6","3,50","22,0","High Momo"
"09:00:40  03-13-2020","OLP","18,79","15.295.200","1.022,2","3,99","10,1","High Momo"
"09:00:40  03-13-2020","MVBF","15,99","10.355.600","3.022,7","2,93","10,3","High Momo"
"09:00:40  03-13-2020","FFNW","11,04","9.988.760","3.090,2","2,80","7,0","High Momo"
"09:00:40  03-13-2020","GWRS","11,17","11.658.400","2.006,6","2,91","11,6","High Momo"
"09:00:40  03-13-2020","CLPR","9,31","15.600.100","1.545,3","1,85","2,3","High Momo"
"09:00:40  03-13-2020","FULC","16,03","8.382.390","1.027,5","1,95","54,0","High Momo"
"09:00:39  03-13-2020","HWBK","18,69","5.393.540","3.023,6","2,69","4,2","High Momo"
"09:00:39  03-13-2020","CTRA","4,91","17.971.100","1.531,5","2,07","65,3","High Momo"
"09:00:38  03-13-2020","FNCB","7,00","16.966.500","6.277,7","3,28","34,4","High Momo"
